"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Spink2",0.1650413767667,-0.0650130056424635,3.67809044243878,0.369333958511071,0.831381104910481,NA
"Ckm",1.10870401275004,0.708193496074641,1.3198060984884,0.369320901951795,0.831386532416536,NA
"A4galt",39.8196397483632,-0.13124491272175,0.229552119672555,0.36925381429063,0.831414420773266,0.933202466638252
"Ccin",0.244798165168584,-0.728044813175215,3.4959577980142,0.369131106551219,0.831465432830187,NA
"Cul1",4652.84041707918,0.0142417856349022,0.0313724905402334,0.368960238391196,0.831536471349014,0.933247569917002
"Vmn2r85",28.6286411432903,-0.133388320752952,0.262098521132151,0.368763032364569,0.831618467393231,0.933247569917002
"Fpgs",147.123693425526,0.0580597349605394,0.107594388460439,0.368635861406659,0.831671347932988,0.933247569917002
"Sytl3",2.9285455476547,0.243430690288054,0.919430918218201,0.368531877711348,0.831714589187096,NA
"Atp8b4",0.763442187593809,0.620863669801121,1.8074861522347,0.368523763924202,0.831717963371511,NA
"Phka1",1020.82286289512,-0.0321892746430153,0.0573244734053448,0.368511627484281,0.831723010434371,0.933247569917002
"Mir8115",0.20084666420334,1.37979743360994,3.30236669622248,0.368344822466316,0.831792381113024,NA
"Fbxo17",20.9246548044682,-0.0294419501289846,0.308502052422778,0.368313341149104,0.831805474175973,NA
"Snord35b",0.927577363011749,-0.188211807002575,1.13806560749959,0.368149797672487,0.831873495136589,NA
"Rimkla",347.675035106329,0.0181743646771099,0.0874258260355993,0.367848882350671,0.831998666293082,0.93341016844097
"Gpalpp1",1829.77797920116,0.010813135888881,0.0388344973862091,0.36784051567065,0.832002146833672,0.93341016844097
"Cmya5",232.228057612626,-0.0102050441859315,0.139570775834523,0.367139922201915,0.832293645521233,0.933581215270736
"Tkt",4055.96723257995,0.0187805550554543,0.0357892640775348,0.367028040240939,0.832340206146129,0.933581215270736
"Pabpc4l",13.5482081227482,-0.1907844866177,0.370628656298195,0.36687279250603,0.832404818119651,NA
"Sirt6",421.164869749497,-0.0336367634852172,0.0756414136413934,0.366830606086836,0.832422376394128,0.933581215270736
"Slc6a8",3450.82991197347,0.0231620143312237,0.0387533224498913,0.3668288371681,0.832423112638223,0.933581215270736
"Gm10637",0.209339671447561,-1.52772702658489,3.67211825307478,0.36681047382201,0.832430755710166,NA
"Mxd3",32.1064066837772,0.0905413774830627,0.318749168151142,0.366609123245553,0.832514565135126,0.933608496363436
"Tssk4",6.7307926009944,-0.0681227661471371,0.499566424878075,0.36634817474075,0.832623193937102,NA
"Dupd1",2.3220477414794,-0.363695128414324,0.912869824668467,0.36613913483302,0.832710224223041,NA
"G6pc2",0.16058086496832,1.3801007851013,3.67581684205889,0.366043192213571,0.832750171381269,NA
"Lcp1",396.854420231072,-0.0229050630788162,0.0859775480416423,0.365941126814135,0.832792669955104,0.933845074073659
"9130409J20Rik",0.156137788578091,-1.45565791100253,3.67629483691083,0.365848257955356,0.832831341105363,NA
"Gm13032",0.156137788578091,-1.45565791100253,3.67629483691083,0.365848257955356,0.832831341105363,NA
"Klk1b3",0.156137788578091,-1.45565791100253,3.67629483691083,0.365848257955356,0.832831341105363,NA
"1700092C02Rik",0.156137788578091,-1.45565791100253,3.67629483691083,0.365848257955356,0.832831341105363,NA
"Nmbr",47.7519741965608,-0.10633172982261,0.197096895573203,0.365227269700512,0.833089970495285,0.934103136862981
"1700026D11Rik",0.313549454301329,-0.0649896828911568,2.18519034245138,0.365094087967265,0.83314544852554,NA
"Gm7714",0.164326396141372,-0.0650129668320087,3.67809044243879,0.364885851216901,0.833232198792001,NA
"Gm3458",0.164326396141372,-0.0650129668320087,3.67809044243879,0.364885851216901,0.833232198792001,NA
"Gabra1",21274.2664614965,0.017449209541799,0.0397921885989816,0.364756549480774,0.833286069718333,0.934247695094122
"Taco1",442.471696352289,-0.0378514394435198,0.0676641108799206,0.364186228495782,0.833523723867541,0.934391859560666
"Ctcfl",0.228149596970838,1.36223974132577,3.18319418847172,0.364118621669107,0.833551900290733,NA
"Trak2",11480.1522015233,-0.0205952235370339,0.0355324321939555,0.363809577000211,0.833680712628184,0.934391859560666
"Kcns2",1178.59525545897,0.0286830233416223,0.0731593164737788,0.363714267867294,0.833720442267751,0.934391859560666
"9430014N10Rik",0.688917268576938,-1.06576341201008,1.96077099043854,0.363450391081265,0.83383044926004,NA
"Apela",0.232394729823172,1.33769246582631,3.16321698714001,0.363309587927745,0.833889154304859,NA
"1700052K11Rik",385.809572568204,-0.0611938565265917,0.105091788286629,0.363291891898825,0.833896532600795,0.934391859560666
"E130102H24Rik",181.200865906796,0.0224607391980557,0.0895594077249673,0.363057428889874,0.833994297276327,0.934391859560666
"Zfp384",1202.78541188208,-0.00391178815979277,0.0420686766560709,0.363051353064236,0.833996830882142,0.934391859560666
"Mir1930",0.675944143360404,-0.402781043355874,1.53089022614824,0.363012584109775,0.834012997631412,NA
"Tnfaip8l2",48.5782800872904,0.0939403650075231,0.183126550667675,0.362876557892861,0.8340697233769,0.934391859560666
"Pla2g4b",0.911267689562986,-0.857656716330389,1.42246650328231,0.362852799829639,0.834079631376358,NA
"Bace2",201.283506450997,-0.0515222327573772,0.110204281498031,0.362441043177881,0.834251367972331,0.934391859560666
"Ovgp1",110.826407837811,0.00802027278990562,0.136254137030529,0.362403159032141,0.834267170572201,0.934391859560666
"Mageb3",5.30313469940536,0.2811346753939,0.491583928011898,0.362339751784646,0.834293620283956,NA
"Pxmp2",67.2931642061742,-0.086012219330091,0.155352401074376,0.362314842339686,0.834304011244171,0.934391859560666
"Il12b",0.642909990274751,-0.120850504233889,1.84260085102088,0.362304346545422,0.834308389597288,NA
"Sema3f",401.754360526304,0.0364248919715064,0.083409201489017,0.362197697555615,0.834352879856956,0.934391859560666
"Trmt1l",898.364254005514,0.0283366387222068,0.0534940681224168,0.362190255211203,0.83435598463348,0.934391859560666
"Renbp",55.5214316900694,-0.0293974222353386,0.186762318105872,0.362168368874023,0.834365115181642,0.934391859560666
"Raet1d",1.14388848169465,0.618122520541484,1.06137024157112,0.362129511517054,0.83438132595068,NA
"Fsd1l",1680.34786716967,-0.0306321103232332,0.054036238731202,0.362127757110841,0.834382057872892,0.934391859560666
"Grhpr",530.466170962141,-0.0134080480771614,0.0720740650358502,0.362031033058372,0.834422411255642,0.934391859560666
"Gm3646",0.155418028152375,-1.45184748887199,3.67636069956323,0.361323325512693,0.834717727020224,NA
"A430090L17Rik",0.155418028152375,-1.45184748887199,3.67636069956323,0.361323325512693,0.834717727020224,NA
"Gm5483",0.155418028152375,-1.45184748887199,3.67636069956323,0.361323325512693,0.834717727020224,NA
"Gm10516",115.696693633642,0.0711260190007502,0.124595242980282,0.361194792169414,0.834771373274113,0.934633724190053
"Cyr61",593.724768119559,0.156398118568227,0.265847855506157,0.361191370571646,0.834772801401269,0.934633724190053
"Hspb1",50.2437931862657,0.0669043872547508,0.226601542069859,0.360740800853932,0.834960884259324,0.934769055645068
"Lats2",625.149555872117,0.0186643587164227,0.0684525166263409,0.360559796984148,0.835036453254427,0.934778412094541
"Mir7050",2.58966414178571,-0.291807845543502,0.718296029927862,0.360233937969909,0.835172516416234,NA
"Tlx3",0.233268533116265,0.656333486919416,3.16270132929821,0.360162331343329,0.835202418894791,NA
"Elp3",3129.61414324172,0.0140320834002067,0.0398007077905016,0.360059018415598,0.835245563612706,0.934857929591629
"Stambpl1",581.695891064686,-0.0209313748630429,0.0784752007707427,0.359953670517825,0.835289560453564,0.934857929591629
"Ly6c2",2.10409464453736,-0.219294768172965,0.813971706173205,0.359801263211551,0.835353214994822,NA
"Serpinb3d",0.155156808260265,-1.45046031582502,3.67638471570112,0.359675608577749,0.835405699644702,NA
"2810471M01Rik",0.155156808260265,-1.45046031582502,3.67638471570112,0.359675608577749,0.835405699644702,NA
"Slco1c1",2611.8318818391,0.0351661154572084,0.0640735531089906,0.359581456931494,0.835445027981358,0.934857929591629
"Rgag4",815.474133954471,-0.0280736842523624,0.0591457767908255,0.35951122811332,0.835474364654907,0.934857929591629
"Cyp20a1",291.537681011795,-0.0295778771070061,0.0839119474720277,0.359439160629847,0.8355044704648,0.934857929591629
"Tfg",2457.94186050916,0.0104884131347367,0.031937198207245,0.359424033644757,0.835510789820532,0.934857929591629
"Dtd1",1091.79611634106,0.0228409154808305,0.0617384074133482,0.359226929473436,0.835593135209048,0.934874855159476
"Daam2",3095.43996955303,0.012445309140362,0.0439012671124855,0.358991413500064,0.835691538768128,0.934909742695232
"Mir134",6.27127891844168,-0.00010680206853921,0.509469427048222,0.358733361316609,0.835799371737749,NA
"Nfkb1",522.748229329962,-0.0316187819256199,0.0656098545671771,0.358502248313044,0.835895959369896,0.934917409752499
"Samd1",667.035429424757,-0.0378912247712568,0.0683602164486758,0.358499956543369,0.83589691721095,0.934917409752499
"Lrrc73",953.095153343522,0.0533374258537065,0.0919210890490068,0.358492444601382,0.835900056821421,0.934917409752499
"Prss1",0.226726430974155,-0.786339836525479,3.18970717674211,0.358319554061364,0.835972319550874,NA
"Prokr1",11.6785520669506,-0.108639078862432,0.365070462008066,0.358235625029579,0.836007401460656,NA
"Otud7a",1632.47132491535,-0.0143367676256306,0.055354472905997,0.358109978382231,0.836059923874031,0.935012358830083
