"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019226","GO:0019226","transmission of nerve impulse","5/193","103/28891",0.000651158128316379,0.0345917377387608,0.0298578230732923,"Kcnq3/Cacna1e/Tnr/Kcnma1/Scn7a",5
"GO:0097035","GO:0097035","regulation of membrane lipid distribution","4/193","59/28891",0.000659366482928329,0.0345917377387608,0.0298578230732923,"Atp8a2/Xkr4/Trpc5/Xkr6",4
"GO:0070588","GO:0070588","calcium ion transmembrane transport","9/193","354/28891",0.000663321120107301,0.0345917377387608,0.0298578230732923,"Cacna2d1/Ryr2/Atp2b4/Cacna1e/Grin2a/Adra1a/Ryr1/Grin2b/Trpc5",9
"GO:0006820","GO:0006820","monoatomic anion transport","6/193","157/28891",0.000673960159247351,0.0345917377387608,0.0298578230732923,"Lrrc8b/Lrrc8c/Gabrb1/Clcn5/Gabrg3/Gabra2",6
"GO:0099171","GO:0099171","presynaptic modulation of chemical synaptic transmission","4/193","61/28891",0.000748233278497093,0.0375867823517369,0.0324429927697732,"Dgki/Adra1a/Grm2/Htr1a",4
"GO:0048588","GO:0048588","developmental cell growth","8/193","291/28891",0.000796945948033161,0.0391997788188811,0.0338352490217588,"Cdkl5/Itga4/D130043K22Rik/Tnr/Usp9x/Adra1a/Slit1/Trpc5",8
"GO:0098815","GO:0098815","modulation of excitatory postsynaptic potential","4/193","63/28891",0.0008452459328414,0.0401445472069061,0.0346507248902429,"Reln/Pclo/Grin2a/Grin2b",4
"GO:0043931","GO:0043931","ossification involved in bone maturation","3/193","28/28891",0.000850159830726517,0.0401445472069061,0.0346507248902429,"Xylt1/Ryr1/Zbtb16",3
"GO:0050890","GO:0050890","cognition","9/193","371/28891",0.000923082467042134,0.0420353147156337,0.0362827389328638,"Reln/Cacna1e/Csmd1/Tnr/Grin2a/Dgki/Aff2/Nrg1/Grin2b",9
"GO:0031099","GO:0031099","regeneration","6/193","167/28891",0.000929559657545759,0.0420353147156337,0.0362827389328638,"Erbb4/D130043K22Rik/Tnr/Mtr/Xylt1/Nrg1",6
"GO:0010996","GO:0010996","response to auditory stimulus","3/193","29/28891",0.000943613587432691,0.0420353147156337,0.0362827389328638,"Kcnq3/Atp8a2/D130043K22Rik",3
"GO:0030516","GO:0030516","regulation of axon extension","5/193","113/28891",0.000989562759145226,0.0432658828581829,0.037344902567352,"Cdkl5/D130043K22Rik/Tnr/Slit1/Trpc5",5
"GO:0070977","GO:0070977","bone maturation","3/193","30/28891",0.00104332906267773,0.0447872712178568,0.0386580873750064,"Xylt1/Ryr1/Zbtb16",3
"GO:0022029","GO:0022029","telencephalon cell migration","4/193","68/28891",0.00112603955948562,0.0467911010454187,0.0403876910425692,"Reln/Tnr/Slit1/Nrg1",4
"GO:0002026","GO:0002026","regulation of the force of heart contraction","3/193","31/28891",0.00114946372750287,0.0467911010454187,0.0403876910425692,"Ryr2/Atp2b4/Adra1a",3
"GO:0060402","GO:0060402","calcium ion transport into cytosol","3/193","31/28891",0.00114946372750287,0.0467911010454187,0.0403876910425692,"Cacna2d1/Ryr2/Adra1a",3
"GO:0050768","GO:0050768","negative regulation of neurogenesis","6/193","175/28891",0.00118306376046348,0.0467933480264211,0.0403896305219248,"D130043K22Rik/Tnr/Slit1/Trpc5/Nr1d1/Prox1",6
"GO:0051932","GO:0051932","synaptic transmission, GABAergic","4/193","69/28891",0.0011891575102013,0.0467933480264211,0.0403896305219248,"Erbb4/Adra1a/Gabrg3/Gabra2",4
"GO:0071875","GO:0071875","adrenergic receptor signaling pathway","3/193","32/28891",0.00126217109727447,0.0473184508067903,0.0408428724500974,"Atp2b4/Adra1a/Lmbrd2",3
"GO:0021700","GO:0021700","developmental maturation","9/193","389/28891",0.00128263909199571,0.0473184508067903,0.0408428724500974,"Reln/Kcnq3/Erbb4/Abhd2/Kcnma1/Xylt1/Ryr1/Zbtb16/Tdrd5",9
"GO:0006941","GO:0006941","striated muscle contraction","6/193","178/28891",0.00129066092834399,0.0473184508067903,0.0408428724500974,"Cacna2d1/Ryr2/Atp8a2/Adra1a/Ryr1/Abcc9",6
"GO:0033555","GO:0033555","multicellular organismal response to stress","5/193","120/28891",0.00129413069612738,0.0473184508067903,0.0408428724500974,"Reln/Cacna1e/D130043K22Rik/Grin2b/Htr1a",5
"GO:0021885","GO:0021885","forebrain cell migration","4/193","71/28891",0.00132275211912247,0.0473184508067903,0.0408428724500974,"Reln/Tnr/Slit1/Nrg1",4
"GO:0098900","GO:0098900","regulation of action potential","4/193","71/28891",0.00132275211912247,0.0473184508067903,0.0408428724500974,"Cacna2d1/Ryr2/Kcnq3/Adra1a",4
