"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045637","GO:0045637","regulation of myeloid cell differentiation","4/62","237/28891",0.00169666630926406,0.0452651421261815,0.0316794688980363,"Cartpt/B2m/Tnfrsf11b/Mpl",4
"GO:0046879","GO:0046879","hormone secretion","5/62","403/28891",0.00173659326209227,0.0452651421261815,0.0316794688980363,"Trh/Cartpt/Tac1/Spp1/Hfe",5
"GO:1905562","GO:1905562","regulation of vascular endothelial cell proliferation","2/62","29/28891",0.00177223614526525,0.0452651421261815,0.0316794688980363,"Aldh1a2/Igf2",2
"GO:2000831","GO:2000831","regulation of steroid hormone secretion","2/62","29/28891",0.00177223614526525,0.0452651421261815,0.0316794688980363,"Tac1/Spp1",2
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","4/62","241/28891",0.00180339313456727,0.0452651421261815,0.0316794688980363,"Cd24a/Igf2/B2m/Hfe",4
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","5/62","407/28891",0.00181308280865552,0.0452651421261815,0.0316794688980363,"Pla2g5/Cd24a/Igf2/B2m/Hfe",5
"GO:0006909","GO:0006909","phagocytosis","4/62","242/28891",0.00183078618515538,0.0452651421261815,0.0316794688980363,"Pla2g5/Colec12/Sphk1/Cnn2",4
"GO:0009914","GO:0009914","hormone transport","5/62","411/28891",0.00189201962229612,0.0452651421261815,0.0316794688980363,"Trh/Cartpt/Tac1/Spp1/Hfe",5
"GO:0050863","GO:0050863","regulation of T cell activation","5/62","411/28891",0.00189201962229612,0.0452651421261815,0.0316794688980363,"Pla2g5/Cd24a/Igf2/B2m/Hfe",5
"GO:0060045","GO:0060045","positive regulation of cardiac muscle cell proliferation","2/62","30/28891",0.00189620583413088,0.0452651421261815,0.0316794688980363,"Rbpj/Ccnb1",2
"GO:0101023","GO:0101023","vascular endothelial cell proliferation","2/62","30/28891",0.00189620583413088,0.0452651421261815,0.0316794688980363,"Aldh1a2/Igf2",2
"GO:0006910","GO:0006910","phagocytosis, recognition","2/62","32/28891",0.002156152617492,0.0474644909281419,0.0332187151854645,"Pla2g5/Colec12",2
"GO:0060295","GO:0060295","regulation of cilium movement involved in cell motility","2/62","32/28891",0.002156152617492,0.0474644909281419,0.0332187151854645,"Cfap69/Tac1",2
"GO:0060586","GO:0060586","multicellular organismal-level iron ion homeostasis","2/62","32/28891",0.002156152617492,0.0474644909281419,0.0332187151854645,"B2m/Hfe",2
"GO:1902019","GO:1902019","regulation of cilium-dependent cell motility","2/62","32/28891",0.002156152617492,0.0474644909281419,0.0332187151854645,"Cfap69/Tac1",2
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","3/62","119/28891",0.00215876798955044,0.0474644909281419,0.0332187151854645,"Sphk1/Igf2/Ccnb1",3
"GO:0035282","GO:0035282","segmentation","3/62","119/28891",0.00215876798955044,0.0474644909281419,0.0332187151854645,"Aldh1a2/Xrcc2/Rbpj",3
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","5/62","426/28891",0.00221062813455993,0.0479735014655798,0.0335749536226396,"Aldh1a2/Igf2/Fgfbp1/Rbpj/B2m",5
"GO:0035094","GO:0035094","response to nicotine","2/62","33/28891",0.00229209534357443,0.0490103472771838,0.0343006052631272,"Igf2/B2m",2
"GO:0002709","GO:0002709","regulation of T cell mediated immunity","3/62","122/28891",0.00231706608910684,0.0490103472771838,0.0343006052631272,"Cd24a/B2m/Hfe",3
