"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055085","GO:0055085","transmembrane transport","51/315","181/1750",0.000239443851372413,0.0115617173948394,0.0103098881367871,"Sumo1/Ndufs4/Calm2/Tomm40l/Gnb5/Cacna2d1/Reln/Ryr2/Atp2b4/Kcnq3/Cacna1e/Kcnk9/Lrrc8b/Erbb4/Kcnh7/Abca8b/Mtor/Akap9/Lrrc8c/Slc9a7/Kcnh5/Grin2a/Kcnma1/Htt/Usp9x/Slc24a2/Cacna1b/Nalcn/Gabrb1/Akap6/Abcc1/Grin1/Slc16a7/Adra1a/Slc36a4/Kcnb2/Myo5a/Sv2b/Tcaf1/Slc8a2/Mrs2/Cacna1c/Scn8a/Sv2a/Atp2b3/Grm1/Grm5/Itpr1/Kcna3/Slc8a1/Slc12a6",51
"GO:0006816","GO:0006816","calcium ion transport","21/315","55/1750",0.000265667401224866,0.0124894885383635,0.0111372061190224,"Sumo1/Calm2/Gnb5/Cacna2d1/Ryr2/Atp2b4/Cacna1e/Grin2a/Htt/Slc24a2/Cacna1b/Nalcn/Akap6/Grin1/Adra1a/Myo5a/Slc8a2/Cacna1c/Atp2b3/Itpr1/Slc8a1",21
"GO:0098662","GO:0098662","inorganic cation transmembrane transport","33/315","103/1750",0.000270975096493094,0.0124894885383635,0.0111372061190224,"Sumo1/Calm2/Gnb5/Cacna2d1/Ryr2/Atp2b4/Kcnq3/Cacna1e/Kcnk9/Kcnh7/Akap9/Slc9a7/Kcnh5/Grin2a/Kcnma1/Htt/Slc24a2/Cacna1b/Nalcn/Akap6/Grin1/Adra1a/Kcnb2/Myo5a/Slc8a2/Mrs2/Cacna1c/Scn8a/Atp2b3/Itpr1/Kcna3/Slc8a1/Slc12a6",33
"GO:0034762","GO:0034762","regulation of transmembrane transport","29/315","87/1750",0.000304492171839673,0.0137224472109079,0.0122366678648084,"Sumo1/Calm2/Gnb5/Cacna2d1/Reln/Ryr2/Atp2b4/Kcnq3/Cacna1e/Erbb4/Kcnh7/Mtor/Akap9/Kcnh5/Grin2a/Kcnma1/Htt/Cacna1b/Nalcn/Akap6/Grin1/Kcnb2/Myo5a/Tcaf1/Cacna1c/Scn8a/Grm5/Kcna3/Slc8a1",29
"GO:0098655","GO:0098655","monoatomic cation transmembrane transport","33/315","104/1750",0.000332327058952091,0.0146512885990183,0.0130649402123499,"Sumo1/Calm2/Gnb5/Cacna2d1/Ryr2/Atp2b4/Kcnq3/Cacna1e/Kcnk9/Kcnh7/Akap9/Slc9a7/Kcnh5/Grin2a/Kcnma1/Htt/Slc24a2/Cacna1b/Nalcn/Akap6/Grin1/Adra1a/Kcnb2/Myo5a/Slc8a2/Mrs2/Cacna1c/Scn8a/Atp2b3/Itpr1/Kcna3/Slc8a1/Slc12a6",33
"GO:0043269","GO:0043269","regulation of monoatomic ion transport","29/315","88/1750",0.00038023667194794,0.0164068078874558,0.0146303830326217,"Sumo1/Calm2/Gnb5/Cacna2d1/Reln/Ryr2/Atp2b4/Kcnq3/Cacna1e/Kcnh7/Mtor/Akap9/Kcnh5/Grin2a/Kcnma1/Htt/Cacna1b/Nalcn/Akap6/Grin1/Kcnb2/Myo5a/Tcaf1/Cacna1c/Scn8a/Grm5/Itpr1/Kcna3/Slc8a1",29
"GO:0050905","GO:0050905","neuromuscular process","15/315","35/1750",0.000488651231683206,0.0206455145386155,0.0184101494743804,"Herc1/Atp8a2/Mycbp2/Mtor/Csmd1/Tnr/Grin2a/Kcnma1/Chd8/Myh10/Cntnap2/Grin1/Aplp2/Myo5a/Itpr1",15
"GO:0006811","GO:0006811","monoatomic ion transport","43/315","150/1750",0.000522809800284237,0.0216379239791109,0.0192951071297168,"Sumo1/Calm2/Tomm40l/Gnb5/Cacna2d1/Reln/Ryr2/Atp2b4/Kcnq3/Cacna1e/Kcnk9/Lrrc8b/Kcnh7/Mtor/Akap9/Lrrc8c/Slc9a7/Kcnh5/Nsf/Grin2a/Kcnma1/Htt/Slc24a2/Cacna1b/Nalcn/Gabrb1/Akap6/Grin1/Adra1a/Kcnb2/Myo5a/Tcaf1/Slc8a2/Mrs2/Cacna1c/Scn8a/Atp2b3/Grm5/Nipal3/Itpr1/Kcna3/Slc8a1/Slc12a6",43
"GO:0051962","GO:0051962","positive regulation of nervous system development","26/315","78/1750",0.000631535446212384,0.0256150776983743,0.0228416399282711,"Tpbg/Smarcd3/Ppp1cc/Reln/Tbc1d24/Arhgap32/Cdkl5/Tnik/Adgrl3/Mtor/Macf1/Map1b/Epha4/Plxna2/Dscam/Kit/Kalrn/Lingo2/Dicer1/Synj1/Slitrk1/Snap91/Lrp1/Ptprd/Grm5/Slit2",26
"GO:0006937","GO:0006937","regulation of muscle contraction","11/315","23/1750",0.000935340884717834,0.0371935551805445,0.0331664734766819,"Sumo1/Calm2/Ryr2/Dock4/Akap9/Kcnma1/Akap6/Kit/Adra1a/Cacna1c/Slc8a1",11
