"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis","50/315","158/1750",8.82221033724338e-06,0.00162649477853905,0.0014503882640559,"Tpbg/Reln/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Atp8a2/Tnik/Mycbp2/D130043K22Rik/Tenm2/Megf9/Kif1a/Nrcam/Cdh2/Tnr/Macf1/Usp9x/Dst/Gas7/Pcdhac2/Epha6/Myh10/Matn2/Chl1/Cntnap2/Map1b/Epha4/Syt1/Dcc/Plxna2/Grin1/Dscam/Dock7/Aplp2/Sh3gl2/Kalrn/Dicer1/Celsr2/Etv1/Slitrk1/Apc/Snap91/Lrp1/Ptprd/Myo16/Als2/Adcy1/Slit2",50
"GO:0007399","GO:0007399","nervous system development","102/315","400/1750",1.09170472834441e-05,0.00172075049650168,0.00153443857209067,"Ndufs4/Sdcbp/Ndufv2/Nme1/Tpbg/Smarcd3/Ppp1cc/Ppia/Herc1/Atrn/Reln/Kcnq3/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Erbb4/Atp8a2/Tnik/Mycbp2/Adgrl3/Dmxl2/D130043K22Rik/Tenm2/Megf9/Mtor/Pclo/Pura/Kif1a/Tenm3/Zzef1/Fry/Nrcam/Cdh2/Tnr/Grin2a/Strn/Kcnma1/Macf1/Htt/Usp9x/Tenm1/Dst/Gas7/Pcdhac2/Chd8/Epha6/Myh10/Matn2/Uhmk1/Chl1/Cntnap2/Vps13b/Lrrc7/Map1b/Cpeb1/Epha4/Syt1/Abcc1/Dcc/Plxna2/Grin1/Nav2/Sdk2/Dscam/Hectd1/Kit/Igsf9b/Dock7/Gprin3/Aplp2/Sh3gl2/Ncor1/Myo5a/Kalrn/Lingo2/Dicer1/Synj1/Celsr2/Etv1/Csmd3/Mib1/Slitrk1/Wdr19/Scn8a/Apc/Snap91/Ift172/Vps13a/Lrp1/Ptprd/Nrg3/Grm5/Myo16/Als2/Dync2h1/Adcy1/Acvr1b/Slit2/Itpr1/Ppp2r3a",102
"GO:0032989","GO:0032989","cellular component morphogenesis","53/315","172/1750",1.10304519006518e-05,0.00172075049650168,0.00153443857209067,"Tpbg/Mff/Reln/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Atp8a2/Tnik/Mycbp2/D130043K22Rik/Tenm2/Megf9/Kif1a/Nrcam/Cdh2/Tnr/Macf1/Usp9x/Dst/Clasp1/Gas7/Pcdhac2/Epha6/Myh10/Matn2/Chl1/Cntnap2/Vps13b/Map1b/Epha4/Syt1/Dcc/Plxna2/Grin1/Dscam/Dock7/Aplp2/Sh3gl2/Kalrn/Dicer1/Celsr2/Etv1/Slitrk1/Apc/Snap91/Lrp1/Ptprd/Myo16/Als2/Adcy1/Slit2",53
"GO:0007409","GO:0007409","axonogenesis","38/315","110/1750",1.29214877777461e-05,0.00187176980094779,0.00166910646632841,"Reln/Arhgap32/Cdkl5/Itga4/Atp8a2/Mycbp2/D130043K22Rik/Tenm2/Megf9/Nrcam/Cdh2/Tnr/Macf1/Usp9x/Dst/Pcdhac2/Epha6/Myh10/Matn2/Chl1/Cntnap2/Map1b/Epha4/Dcc/Plxna2/Grin1/Dscam/Dock7/Aplp2/Kalrn/Etv1/Slitrk1/Apc/Snap91/Lrp1/Als2/Adcy1/Slit2",38
"GO:0034220","GO:0034220","monoatomic ion transmembrane transport","40/315","119/1750",1.59754257953627e-05,0.00195086280853589,0.00173963578587391,"Sumo1/Calm2/Gnb5/Cacna2d1/Reln/Ryr2/Atp2b4/Kcnq3/Cacna1e/Kcnk9/Lrrc8b/Kcnh7/Mtor/Akap9/Lrrc8c/Slc9a7/Kcnh5/Grin2a/Kcnma1/Htt/Slc24a2/Cacna1b/Nalcn/Gabrb1/Akap6/Grin1/Adra1a/Kcnb2/Myo5a/Tcaf1/Slc8a2/Mrs2/Cacna1c/Scn8a/Atp2b3/Grm5/Itpr1/Kcna3/Slc8a1/Slc12a6",40
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","28/315","72/1750",1.61689347674163e-05,0.00195086280853589,0.00173963578587391,"Sumo1/Calm2/Gnb5/Cacna2d1/Reln/Ryr2/Atp2b4/Kcnq3/Cacna1e/Kcnh7/Mtor/Akap9/Kcnh5/Grin2a/Kcnma1/Htt/Cacna1b/Nalcn/Akap6/Grin1/Kcnb2/Myo5a/Tcaf1/Cacna1c/Scn8a/Grm5/Kcna3/Slc8a1",28
"GO:0070588","GO:0070588","calcium ion transmembrane transport","21/315","47/1750",1.63533864620859e-05,0.00195086280853589,0.00173963578587391,"Sumo1/Calm2/Gnb5/Cacna2d1/Ryr2/Atp2b4/Cacna1e/Grin2a/Htt/Slc24a2/Cacna1b/Nalcn/Akap6/Grin1/Adra1a/Myo5a/Slc8a2/Cacna1c/Atp2b3/Itpr1/Slc8a1",21
"GO:0097553","GO:0097553","calcium ion transmembrane import into cytosol","16/315","31/1750",1.87108309034735e-05,0.00210808694845802,0.00187983669544839,"Calm2/Cacna2d1/Ryr2/Cacna1e/Grin2a/Htt/Slc24a2/Cacna1b/Akap6/Grin1/Adra1a/Myo5a/Slc8a2/Cacna1c/Itpr1/Slc8a1",16
"GO:0061564","GO:0061564","axon development","39/315","117/1750",2.58047300122466e-05,0.00275431539288611,0.00245609563219056,"Reln/Tbc1d24/Arhgap32/Cdkl5/Itga4/Atp8a2/Mycbp2/D130043K22Rik/Tenm2/Megf9/Nrcam/Cdh2/Tnr/Macf1/Usp9x/Dst/Pcdhac2/Epha6/Myh10/Matn2/Chl1/Cntnap2/Map1b/Epha4/Dcc/Plxna2/Grin1/Dscam/Dock7/Aplp2/Kalrn/Etv1/Slitrk1/Apc/Snap91/Lrp1/Als2/Adcy1/Slit2",39
"GO:0048699","GO:0048699","generation of neurons","79/315","297/1750",3.19723932795101e-05,0.00324200067854233,0.00289097745548413,"Ndufs4/Nme1/Tpbg/Smarcd3/Ppp1cc/Ppia/Herc1/Reln/Kcnq3/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Erbb4/Atp8a2/Tnik/Mycbp2/Adgrl3/D130043K22Rik/Tenm2/Megf9/Mtor/Kif1a/Tenm3/Zzef1/Fry/Nrcam/Cdh2/Tnr/Strn/Kcnma1/Macf1/Htt/Usp9x/Tenm1/Dst/Gas7/Pcdhac2/Epha6/Myh10/Matn2/Uhmk1/Chl1/Cntnap2/Lrrc7/Map1b/Cpeb1/Epha4/Syt1/Dcc/Plxna2/Grin1/Sdk2/Dscam/Dock7/Gprin3/Aplp2/Sh3gl2/Kalrn/Dicer1/Celsr2/Etv1/Csmd3/Mib1/Slitrk1/Apc/Snap91/Ift172/Lrp1/Ptprd/Nrg3/Myo16/Als2/Dync2h1/Adcy1/Slit2/Itpr1/Ppp2r3a",79
"GO:0000902","GO:0000902","cell morphogenesis","56/315","192/1750",3.76477946463539e-05,0.00363570131156218,0.0032420506868389,"Tpbg/Reln/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Atp8a2/Tnik/Mycbp2/D130043K22Rik/Tenm2/Megf9/Kif1a/Fry/Nrcam/Cdh2/Tnr/Macf1/Usp9x/Dst/Gas7/Pcdhac2/Epha6/Cdh6/Myh10/Matn2/Chl1/Cntnap2/Map1b/Epha4/Syt1/Dcc/Plxna2/Grin1/Dscam/Kit/Dock7/Brwd3/Aplp2/Sh3gl2/Kalrn/Dicer1/Celsr2/Etv1/Slitrk1/Wdr19/Apc/Snap91/Lrp1/Ptprd/Myo16/Als2/Adcy1/Slit2/Itpr1",56
"GO:0007610","GO:0007610","behavior","46/315","149/1750",4.38538368721369e-05,0.00404252641712244,0.00360482735628379,"Ndufs4/Bbip1/Trh/Tpbg/Reln/Kcnq3/Cacna1e/Atp8a2/Adgrl3/Mtor/Zzef1/Csmd1/Tnr/Grin2a/Strn/Kcnma1/Htt/Slc24a2/Cacna1b/Chd8/Chl1/Cntnap2/Epha4/Dgki/Grin1/Nav2/Dscam/Kit/Aplp2/Ncor1/Myo5a/Kalrn/Synj1/Slc8a2/Etv1/Slitrk1/Cacna1c/Scn8a/Vps13a/Syt11/Grm1/Grm5/Lsamp/Als2/Adcy1/Nipal3",46
"GO:0030182","GO:0030182","neuron differentiation","75/315","281/1750",4.78528076619443e-05,0.00421936930167057,0.00376252281753869,"Ndufs4/Nme1/Tpbg/Ppp1cc/Ppia/Herc1/Reln/Kcnq3/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Erbb4/Atp8a2/Tnik/Mycbp2/D130043K22Rik/Tenm2/Megf9/Mtor/Kif1a/Tenm3/Fry/Nrcam/Cdh2/Tnr/Strn/Kcnma1/Macf1/Htt/Usp9x/Tenm1/Dst/Gas7/Pcdhac2/Epha6/Myh10/Matn2/Uhmk1/Chl1/Cntnap2/Lrrc7/Map1b/Cpeb1/Epha4/Syt1/Dcc/Plxna2/Grin1/Sdk2/Dscam/Dock7/Gprin3/Aplp2/Sh3gl2/Kalrn/Dicer1/Celsr2/Etv1/Csmd3/Mib1/Slitrk1/Apc/Snap91/Ift172/Lrp1/Ptprd/Myo16/Als2/Dync2h1/Adcy1/Slit2/Itpr1/Ppp2r3a",75
"GO:0048667","GO:0048667","cell morphogenesis involved in neuron differentiation","44/315","142/1750",5.95195167840389e-05,0.00484320253407596,0.00431881135344259,"Tpbg/Reln/Tbc1d24/Arhgap32/Cdkl5/Itga4/Atp8a2/Tnik/Mycbp2/D130043K22Rik/Tenm2/Megf9/Kif1a/Nrcam/Cdh2/Tnr/Macf1/Usp9x/Dst/Pcdhac2/Epha6/Myh10/Matn2/Chl1/Cntnap2/Map1b/Epha4/Dcc/Plxna2/Grin1/Dscam/Dock7/Aplp2/Kalrn/Celsr2/Etv1/Slitrk1/Apc/Snap91/Lrp1/Ptprd/Als2/Adcy1/Slit2",44
"GO:0003008","GO:0003008","system process","65/315","236/1750",6.13115897500078e-05,0.00484320253407596,0.00431881135344259,"Sumo1/Ndufs4/Cplx3/Calm2/Tpbg/Cacna2d1/Herc1/Reln/Ryr2/Atp2b4/Kcnq3/Tbc1d24/Lnpep/Cacna1e/Atp8a2/Mycbp2/Dock4/Dmxl2/Mtor/Pclo/Akap9/Zzef1/Nrcam/Csmd1/Tnr/Grin2a/Kcnma1/Htt/Slc24a2/Cacna1b/Phf24/Chd8/Gabrb1/Myh10/Chl1/Cntnap2/Akap6/Dgki/Abcc1/Grin1/Nav2/Kit/Igsf9b/Adra1a/Aplp2/Sh3gl2/Myo5a/Stx1b/Kalrn/Dicer1/Synj1/Slc8a2/Wdr19/Cacna1c/Scn8a/Dlgap2/Lrp1/Syt11/Grm1/Akap11/Grm5/Adcy1/Slit2/Itpr1/Slc8a1",65
"GO:0022008","GO:0022008","neurogenesis","84/315","326/1750",6.2092340180461e-05,0.00484320253407596,0.00431881135344259,"Ndufs4/Nme1/Tpbg/Smarcd3/Ppp1cc/Ppia/Herc1/Reln/Kcnq3/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Erbb4/Atp8a2/Tnik/Mycbp2/Adgrl3/D130043K22Rik/Tenm2/Megf9/Mtor/Kif1a/Tenm3/Zzef1/Fry/Nrcam/Cdh2/Tnr/Grin2a/Strn/Kcnma1/Macf1/Htt/Usp9x/Tenm1/Dst/Gas7/Pcdhac2/Epha6/Myh10/Matn2/Uhmk1/Chl1/Cntnap2/Lrrc7/Map1b/Cpeb1/Epha4/Syt1/Abcc1/Dcc/Plxna2/Grin1/Sdk2/Dscam/Kit/Dock7/Gprin3/Aplp2/Sh3gl2/Kalrn/Dicer1/Synj1/Celsr2/Etv1/Csmd3/Mib1/Slitrk1/Apc/Snap91/Ift172/Lrp1/Ptprd/Nrg3/Grm5/Myo16/Als2/Dync2h1/Adcy1/Slit2/Itpr1/Ppp2r3a",84
"GO:0032879","GO:0032879","regulation of localization","84/315","328/1750",7.97124767721334e-05,0.00588947081884485,0.00525179635979209,"Rint1/Sumo1/Cplx3/Calm2/Rsl1d1/Sdcbp/Trh/Sdhd/Cct3/Gnb5/Yipf5/Serp1/Ppp1cc/Vti1b/Ppia/Mff/Cacna2d1/Reln/Zbed6/Ryr2/Atp2b4/Kcnq3/Nbea/Dync1h1/Cacna1e/Erbb4/Prepl/Atp8a2/Kcnh7/Tnik/Mycbp2/Ubr5/Abca8b/Mtor/Pclo/Akap9/Cdh2/Kcnh5/Nsf/Grin2a/Kcnma1/Ice1/Htt/Tbc1d5/Arhgap21/Cacna1b/Clasp1/Nalcn/Myh10/Uhmk1/Map1b/Akap6/Syt1/Frrs1l/Grin1/Hectd1/Ralgapb/Hcfc1/Xpo4/Sh3gl2/Kcnb2/Myo5a/Stx1b/Kalrn/Sv2b/Cbl/Rabgap1l/Synj1/Tcaf1/Celsr2/Mib1/Cacna1c/Scn8a/Apc/Snap91/Sv2a/Lrp1/Syt11/Grm5/Nvl/Itpr1/Kcna3/Slc8a1/Supt6",84
"GO:0051049","GO:0051049","regulation of transport","71/315","266/1750",8.13141927651162e-05,0.00588947081884485,0.00525179635979209,"Rint1/Sumo1/Cplx3/Calm2/Sdcbp/Trh/Sdhd/Gnb5/Yipf5/Serp1/Ppp1cc/Ppia/Mff/Cacna2d1/Reln/Zbed6/Ryr2/Atp2b4/Kcnq3/Dync1h1/Cacna1e/Erbb4/Prepl/Atp8a2/Kcnh7/Ubr5/Abca8b/Mtor/Pclo/Akap9/Cdh2/Kcnh5/Nsf/Grin2a/Kcnma1/Ice1/Htt/Tbc1d5/Arhgap21/Cacna1b/Clasp1/Nalcn/Myh10/Uhmk1/Map1b/Akap6/Syt1/Grin1/Hcfc1/Xpo4/Sh3gl2/Kcnb2/Myo5a/Stx1b/Kalrn/Sv2b/Cbl/Synj1/Tcaf1/Mib1/Cacna1c/Scn8a/Snap91/Sv2a/Lrp1/Syt11/Grm5/Itpr1/Kcna3/Slc8a1/Supt6",71
"GO:0031175","GO:0031175","neuron projection development","62/315","225/1750",9.32529025664708e-05,0.0065212719449932,0.00581519007655887,"Nme1/Tpbg/Herc1/Reln/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Atp8a2/Tnik/Mycbp2/D130043K22Rik/Tenm2/Megf9/Mtor/Kif1a/Tenm3/Fry/Nrcam/Cdh2/Tnr/Strn/Macf1/Usp9x/Dst/Gas7/Pcdhac2/Epha6/Myh10/Matn2/Uhmk1/Chl1/Cntnap2/Lrrc7/Map1b/Cpeb1/Epha4/Syt1/Dcc/Plxna2/Grin1/Dscam/Dock7/Gprin3/Aplp2/Sh3gl2/Kalrn/Dicer1/Celsr2/Etv1/Csmd3/Slitrk1/Apc/Snap91/Lrp1/Ptprd/Myo16/Als2/Adcy1/Slit2/Itpr1",62
"GO:0009653","GO:0009653","anatomical structure morphogenesis","90/315","359/1750",9.80712535588754e-05,0.00658946098887289,0.00587599604426639,"Tpbg/Smarcd3/Serp1/Ptcd2/Mff/Herc1/Reln/Ryr2/Atp2b4/Tbc1d24/Arhgap32/Nyap2/Cdkl5/Itga4/Erbb4/Atp8a2/Tnik/Mycbp2/Mmp16/D130043K22Rik/Tenm2/Megf9/Mtor/Kif1a/Tenm3/Fry/Nrcam/Glg1/Cdh2/Csmd1/Tnr/Macf1/Htt/Usp9x/Huwe1/Dst/Clasp1/Gas7/Pcdhac2/Epha6/Cdh6/Myh10/Matn2/Chl1/Cntnap2/Bcas3/Vps13b/Map1b/Itgb8/Epha4/Syt1/Dcc/Plxna2/Grin1/Sdk2/Dscam/Hectd1/Kit/Dock7/Brwd3/Aplp2/Sh3gl2/Arid5b/Myo5a/Kalrn/Dicer1/Ash1l/Celsr2/Etv1/Mib1/Slitrk1/Wdr19/Cacna1c/Apc/Snap91/Ift172/Lrp1/Ptprd/Kat6a/Nrg3/Myo16/Als2/Dync2h1/Adcy1/Slit2/Itpr1/Nsd1/Slc8a1/Ppp2r3a/Supt6",90
"GO:1904645","GO:1904645","response to amyloid-beta","8/315","11/1750",0.000101431679662418,0.00658946098887289,0.00587599604426639,"Snx6/Cacna2d1/Itga4/Cacna1b/Epha4/Abcc1/Lrp1/Grm5",8
