"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Csmd1",3459.28634809428,-0.425978811006986,0.0623206448165761,-6.83527605115029,8.18472664186503e-12,1.67712489552398e-09
"Cdh2",4549.01571474163,-0.22197840974368,0.0324869222809511,-6.83285439673176,8.32414346022134e-12,1.68023456949304e-09
"Ncam2",2762.63206106876,-0.450302228953647,0.0663301648941526,-6.78880008322344,1.13069992216619e-11,2.24876260990817e-09
"Herc2",12740.3265426367,-0.301103115188391,0.0443911044315407,-6.78296066394897,1.17737702790679e-11,2.30765897469731e-09
"Akap9",3925.1723061403,-0.302105048875709,0.0447709908115879,-6.74778563974768,1.50118506819169e-11,2.90028955174635e-09
"Trrap",5915.94518751776,-0.291565804729629,0.0432339231352957,-6.74391273299919,1.54177163665423e-11,2.93674924142419e-09
"Cad",761.067199632916,-0.368567506701366,0.0549134240325978,-6.7117924841579,1.92247973686435e-11,3.6110577724102e-09
"Pura",867.350084804588,-0.428212642134441,0.0639127003267084,-6.69996166560805,2.08474221806763e-11,3.79917453220186e-09
"Tnr",3811.94712254983,-0.427263361493336,0.0637724114924501,-6.69981503747775,2.08683508973156e-11,3.79917453220186e-09
"Ralgps1",3142.67171849428,-0.242772894336579,0.0362433286064265,-6.69841605810817,2.10690690561327e-11,3.79917453220186e-09
"Nsf",29010.3488081088,-0.181156675040003,0.027059605736742,-6.69472707039578,2.1607452675944e-11,3.84498934196667e-09
"Kcnma1",5661.51012095718,-0.412552763351426,0.0616651080749945,-6.69021390264487,2.22844623828298e-11,3.89931016044784e-09
"Xkr4",1061.37513786066,-0.558998193930289,0.0835713397724909,-6.68887438507112,2.24893664977027e-11,3.89931016044784e-09
"Pcdha12",361.657382858311,-0.677355755400163,0.101331061759639,-6.68458164394722,2.31585263954369e-11,3.96450520217581e-09
"Pcdh10",8736.86326299966,-0.273207162831085,0.0409117664377937,-6.67796056292257,2.42290213005867e-11,4.09591605086418e-09
"Ankrd12",3163.14479382221,-0.291019664694179,0.0437545779702259,-6.65118207498681,2.90748330294481e-11,4.85442027025008e-09
"Abhd2",2119.57485567132,-0.323501361217042,0.0486949691820322,-6.64342470384825,3.06477079381761e-11,5.05462929458406e-09
"Kmt2c",3695.35031403683,-0.320831403917194,0.0486076706998505,-6.60042744895777,4.09973982709876e-11,6.68010619538357e-09
"Ice1",5272.43466990047,-0.274354186121888,0.0415830150399597,-6.59774636010026,4.17454645049568e-11,6.72101978529804e-09
"Usp9x",9131.20938425678,-0.342250198096179,0.0520390920822545,-6.57679033975475,4.80711844779419e-11,7.64840822211396e-09
